[2025-10-13 01:21:19] 내부온도: 27.54°C | 외부온도: 2.78°C | 내부습도: 54.59% | 외부광량: 690.28W/m² | CO2: 0.0727% | 산소: 5.17%
[2025-02-19 15:51:40] 내부온도: 20.81°C | 외부온도: 16.17°C | 내부습도: 59.65% | 외부광량: 588.93W/m² | CO2: 0.0678% | 산소: 5.99%
[2025-11-27 06:56:43] 내부온도: 18.01°C | 외부온도: 14.09°C | 내부습도: 55.19% | 외부광량: 664.52W/m² | CO2: 0.0787% | 산소: 6.34%
[2025-05-26 15:40:14] 내부온도: 23.16°C | 외부온도: 11.55°C | 내부습도: 53.36% | 외부광량: 616.02W/m² | CO2: 0.0512% | 산소: 4.46%
[2025-01-25 12:45:28] 내부온도: 21.95°C | 외부온도: 10.01°C | 내부습도: 56.82% | 외부광량: 683.56W/m² | CO2: 0.0596% | 산소: 4.01%
[2025-05-01 16:11:54] 내부온도: 24.79°C | 외부온도: 19.09°C | 내부습도: 51.47% | 외부광량: 652.77W/m² | CO2: 0.0936% | 산소: 6.02%
[2025-05-13 15:27:55] 내부온도: 25.34°C | 외부온도: 11.89°C | 내부습도: 58.46% | 외부광량: 568.8W/m² | CO2: 0.0523% | 산소: 6.99%
[2025-08-27 14:45:09] 내부온도: 25.86°C | 외부온도: 0.68°C | 내부습도: 56.52% | 외부광량: 518.63W/m² | CO2: 0.0251% | 산소: 6.73%
[2025-09-20 09:00:19] 내부온도: 20.32°C | 외부온도: 20.95°C | 내부습도: 50.92% | 외부광량: 692.71W/m² | CO2: 0.099% | 산소: 4.96%
[2025-02-06 05:31:25] 내부온도: 24.04°C | 외부온도: 16.22°C | 내부습도: 51.69% | 외부광량: 602.25W/m² | CO2: 0.0806% | 산소: 5.91%
[2025-09-16 07:46:29] 내부온도: 18.74°C | 외부온도: 15.54°C | 내부습도: 58.15% | 외부광량: 536.03W/m² | CO2: 0.0217% | 산소: 5.24%
[2025-10-20 23:59:07] 내부온도: 23.65°C | 외부온도: 11.62°C | 내부습도: 58.04% | 외부광량: 556.85W/m² | CO2: 0.089% | 산소: 4.82%
[2025-10-20 05:05:22] 내부온도: 29.02°C | 외부온도: 20.67°C | 내부습도: 58.29% | 외부광량: 603.13W/m² | CO2: 0.0596% | 산소: 5.65%
[2025-05-24 20:02:34] 내부온도: 21.88°C | 외부온도: 2.22°C | 내부습도: 54.89% | 외부광량: 592.72W/m² | CO2: 0.0436% | 산소: 5.11%
[2025-10-23 09:36:02] 내부온도: 26.1°C | 외부온도: 7.18°C | 내부습도: 51.4% | 외부광량: 555.79W/m² | CO2: 0.0671% | 산소: 6.5%
[2025-11-21 14:39:51] 내부온도: 24.38°C | 외부온도: 5.64°C | 내부습도: 57.31% | 외부광량: 685.06W/m² | CO2: 0.0642% | 산소: 6.27%
[2025-12-23 12:42:16] 내부온도: 22.98°C | 외부온도: 7.84°C | 내부습도: 54.41% | 외부광량: 547.49W/m² | CO2: 0.0324% | 산소: 5.95%
[2025-09-03 22:41:12] 내부온도: 22.13°C | 외부온도: 19.49°C | 내부습도: 50.55% | 외부광량: 581.85W/m² | CO2: 0.0562% | 산소: 6.19%
[2025-11-20 04:35:48] 내부온도: 20.28°C | 외부온도: 13.55°C | 내부습도: 58.7% | 외부광량: 553.03W/m² | CO2: 0.0881% | 산소: 5.05%
[2025-05-18 08:50:24] 내부온도: 26.2°C | 외부온도: 2.42°C | 내부습도: 59.45% | 외부광량: 606.0W/m² | CO2: 0.0294% | 산소: 6.01%
[2025-09-19 01:34:41] 내부온도: 18.02°C | 외부온도: 15.62°C | 내부습도: 51.11% | 외부광량: 644.68W/m² | CO2: 0.0728% | 산소: 4.69%
[2025-07-26 20:08:11] 내부온도: 27.86°C | 외부온도: 3.48°C | 내부습도: 52.78% | 외부광량: 523.69W/m² | CO2: 0.0986% | 산소: 6.19%
[2025-04-14 16:27:28] 내부온도: 23.39°C | 외부온도: 19.74°C | 내부습도: 50.72% | 외부광량: 627.52W/m² | CO2: 0.0633% | 산소: 6.63%
[2025-12-28 22:59:40] 내부온도: 25.66°C | 외부온도: 17.79°C | 내부습도: 58.94% | 외부광량: 648.24W/m² | CO2: 0.0972% | 산소: 6.8%
[2025-10-08 16:41:19] 내부온도: 21.23°C | 외부온도: 9.66°C | 내부습도: 59.38% | 외부광량: 617.65W/m² | CO2: 0.0341% | 산소: 6.03%
